"Generation","Model","Announced","Released"
"1","iPhone",2007-01-09,2007-06-29
"2","iPhone 3G",2008-06-09,2008-07-11
"3","iPhone 3GS",2009-06-08,2009-06-19
"4","iPhone 4",2010-06-07,2010-06-24
"5","iPhone 4s",2011-10-04,2011-10-14
"6","iPhone 5",2012-09-12,2012-09-21
"6","iPhone 5c",2013-09-10,2013-09-20
"7","iPhone 5s",2013-09-10,2013-09-20
"8","iPhone 6",2014-09-09,2014-09-19
"8","iPhone 6 Plus",2014-09-09,2014-09-19
"9","iPhone 6s",2015-09-09,2015-09-25
"9","iPhone 6s Plus",2015-09-09,2015-09-25
"9","iPhone SE (1st generation)",2016-03-21,2016-03-31
"10","iPhone 7",2016-09-07,2016-09-16
"10","iPhone 7 Plus",2016-09-07,2016-09-16
"11","iPhone 8",2017-09-12,2017-09-22
"11","iPhone 8 Plus",2017-09-12,2017-09-22
"11","iPhone X",2017-09-12,2017-11-03
"12","iPhone XR",2018-09-12,2018-10-26
"12","iPhone XS",2018-09-12,2018-09-21
"12","iPhone XS Max",2018-09-12,2018-09-21
"13","iPhone 11",2019-09-10,2019-09-20
"13","iPhone 11 Pro",2019-09-10,2019-09-20
"13","iPhone 11 Pro Max",2019-09-10,2019-09-20
"13","iPhone SE (2nd generation)",2020-04-15,2020-04-24
"14","iPhone 12",2020-10-13,2020-10-23
"14","iPhone 12 Mini",2020-10-13,2020-11-13
"14","iPhone 12 Pro",2020-10-13,2020-10-23
"14","iPhone 12 Pro Max",2020-10-13,2020-11-13
"15","iPhone 13",2021-09-14,2021-09-24
"15","iPhone 13 Mini",2021-09-14,2021-09-24
"15","iPhone 13 Pro",2021-09-14,2021-09-24
"15","iPhone 13 Pro Max",2021-09-14,2021-09-24
"15","iPhone SE (3rd generation)",2022-03-08,2022-03-18
"16","iPhone 14",2022-09-07,2022-09-16
"16","iPhone 14 Plus",2022-09-07,2022-10-07
"16","iPhone 14 Pro",2022-09-07,2022-09-16
"16","iPhone 14 Pro Max",2022-09-07,2022-09-16
"17","iPhone 15",2023-09-12,2023-09-22
"17","iPhone 15 Plus",2023-09-12,2023-09-22
"17","iPhone 15 Pro",2023-09-12,2023-09-22
"17","iPhone 15 Pro Max",2023-09-12,2023-09-22
